crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,DS_Division,Avg_Household_Income,Unemployment_Rate,Building_Density,Road_Density,Land_Area_Density
stabbing,pattiyakale watte,7/12/2020,m,muslim,51,13:55:00,Rainy,7.291160301,80.63486296,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,451,muslim,Gangawata Korale,106741,4.46,862.1,20.1,20.14
theft,mulgampola,7/16/2020,m,sinhala,42,20:20:00,Rainy,7.280395202,80.61510166,Non-Holiday,0,General Urban,Welata,LK2130170,21826,202.4,sinhala,Gangawata Korale,112025,4.54,723.1,27.9,14.65
robbery,katugasthota road,7/16/2020,f,tamil,58,23:27:00,Rainy,7.313015151,80.63411469,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,186.7,tamil,Gangawata Korale,120633,4.49,1017.7,19.6,17.12
drugs,asgiriya,7/20/2020,m,sinhala,46,12:05:00,Rainy,7.298657293,80.63078148,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,228.2,sinhala,Gangawata Korale,110898,4.42,1081.4,15.6,14.14
stabbing,walespark,7/21/2020,m,sinhala,61,5:00:00,Rainy,7.288388496,80.63557372,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,302.7,sinhala,Gangawata Korale,105453,4.72,707.8,18.5,17.81
theft,goerge.e. silva lane,7/21/2020,f,sinhala,46,18:22:00,Rainy,7.289223695,80.63518265,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,306.7,sinhala,Gangawata Korale,104467,4.61,762.6,19.3,18.96
drugs,municipal indoor sports complex,7/22/2020,m,muslim,75,3:33:00,Rainy,7.285422938,80.62492561,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,321.5,muslim,Gangawata Korale,125236,4.68,1312.3,24.8,20.52
stabbing,municipal indoor sports complex,7/22/2020,m,sinhala,61,18:58:00,Rainy,7.286330139,80.62721491,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,312.9,sinhala,Gangawata Korale,113647,4.55,1317.4,21.6,20.63
burglary,hanthane town,7/24/2020,f,sinhala,54,19:26:00,Rainy,7.269337955,80.63461131,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,472.5,sinhala,Gangawata Korale,108878,4.29,105.8,10.9,1.6
robbery,katugasthota road,7/28/2020,f,tamil,58,13:30:00,Rainy,7.312822876,80.63050192,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,234.9,tamil,Gangawata Korale,105086,4.44,888.9,18.3,14.06
